iter	RMSE
0	4421.12248
1	4299.913477
2	4180.754071
3	4074.559546
4	3974.32177
5	3878.786511
6	3789.33891
7	3711.083783
8	3640.105597
9	3567.693797
10	3503.094458
11	3447.112097
12	3394.636422
13	3346.458115
14	3305.375596
15	3264.800805
16	3221.823589
17	3188.743534
18	3154.603762
19	3126.246771
20	3100.926066
21	3076.14171
22	3052.643645
23	3033.109694
24	3014.554553
25	2992.726062
26	2973.03838
27	2955.556149
28	2942.866476
29	2929.336402
30	2917.539928
31	2905.982892
32	2895.547314
33	2886.06383
34	2877.163978
35	2868.566356
36	2859.35715
37	2851.048608
38	2843.937338
39	2838.488134
40	2831.326814
41	2825.597846
42	2819.800854
43	2814.994917
44	2809.948769
45	2805.06099
46	2800.942196
47	2796.15044
48	2791.512676
49	2788.211926
50	2785.29669
51	2781.639064
52	2779.474269
53	2773.784682
54	2770.656802
55	2767.448284
56	2764.627907
57	2761.388335
58	2758.589291
59	2756.36344
60	2753.450058
61	2749.069462
62	2747.282507
63	2743.200558
64	2741.08751
65	2739.371783
66	2735.318923
67	2732.5965
68	2730.401928
69	2729.097924
70	2724.401417
71	2718.829148
72	2715.039765
73	2711.531523
74	2709.687949
75	2706.142876
76	2704.593497
77	2702.305013
78	2700.380707
79	2699.03321
80	2697.441921
81	2696.868978
82	2695.251663
83	2692.549666
84	2690.029567
85	2688.663016
86	2686.69159
87	2684.100755
88	2682.512677
89	2678.569406
90	2676.23638
91	2675.318033
92	2674.508983
93	2672.460183
94	2670.802791
95	2668.807032
96	2666.978394
97	2666.225201
98	2664.141944
99	2663.947436
100	2662.296275
101	2660.600813
102	2659.498307
103	2658.063608
104	2657.050917
105	2656.293262
106	2654.944587
107	2653.611437
108	2652.487559
109	2651.218235
110	2650.201546
111	2649.257957
112	2648.605811
113	2647.363413
114	2646.751563
115	2646.114622
116	2644.722012
117	2644.61553
118	2642.865586
119	2640.5973
120	2639.354556
121	2638.605069
122	2638.139486
123	2636.673061
124	2635.79785
125	2634.98223
126	2633.888946
127	2632.56523
128	2631.24279
129	2629.10734
130	2628.449826
131	2626.478492
132	2625.730924
133	2623.200661
134	2621.240474
135	2620.634466
136	2620.266063
137	2617.990648
138	2616.959531
139	2616.330519
140	2615.904277
141	2615.77612
142	2614.910721
143	2614.088826
144	2612.605381
145	2611.813891
146	2611.151739
147	2610.818651
148	2609.737945
149	2607.701587
150	2606.875155
151	2605.92847
152	2604.86721
153	2603.601715
154	2603.100375
155	2601.175024
156	2600.952557
157	2599.951865
158	2599.285581
159	2597.947059
160	2597.544808
161	2596.651573
162	2596.137882
163	2595.55171
164	2594.81643
165	2594.282941
166	2593.504576
167	2592.547893
168	2591.787172
169	2590.961375
170	2590.146926
171	2589.650737
172	2588.83468
173	2587.113306
174	2586.641526
175	2586.434029
176	2585.976313
177	2585.415002
178	2585.385768
179	2584.535636
180	2584.422486
181	2583.912005
182	2583.409182
183	2583.158399
184	2582.208385
185	2580.99909
186	2580.279603
187	2580.203924
188	2579.165963
189	2578.751001
190	2578.425618
191	2577.940172
192	2577.271216
193	2576.627602
194	2575.721879
195	2574.99216
196	2574.878869
197	2574.054983
198	2573.822063
199	2573.673242
200	2573.30395
201	2573.204378
202	2573.137284
203	2572.766211
204	2571.946247
205	2570.806935
206	2570.679738
207	2569.375422
208	2569.249646
209	2567.596612
210	2567.099234
211	2566.312679
212	2565.404277
213	2565.036363
214	2564.424683
215	2563.532005
216	2562.544861
217	2562.138282
218	2561.274994
219	2560.275151
220	2560.158399
221	2560.011728
222	2559.438597
223	2558.394515
224	2557.806612
225	2557.377122
226	2557.345619
227	2556.529369
228	2556.427123
229	2556.297904
230	2555.488447
231	2555.424885
232	2555.299499
233	2554.413789
234	2553.636863
235	2553.276421
236	2552.230933
237	2552.139727
238	2550.8362
239	2550.720236
240	2549.516265
241	2548.816835
242	2548.707305
243	2548.497953
244	2547.319463
245	2546.466283
246	2545.939897
247	2545.69101
248	2545.439478
249	2545.353389
250	2545.031784
251	2544.435522
252	2543.857658
253	2543.808088
254	2543.393816
255	2542.742115
256	2542.461621
257	2542.369741
258	2541.781297
259	2541.434465
260	2541.293748
261	2540.533677
262	2540.33602
263	2539.694309
264	2538.992808
265	2538.927651
266	2538.123781
267	2537.863355
268	2537.135613
269	2536.234565
270	2535.511717
271	2535.079957
272	2534.901982
273	2534.144243
274	2533.786009
275	2533.124135
276	2533.081892
277	2533.041831
278	2532.477221
279	2532.439534
280	2532.227967
281	2532.003137
282	2531.916932
283	2531.64753
284	2531.268758
285	2530.937312
286	2530.057588
287	2529.994326
288	2529.935632
289	2529.882372
290	2529.826232
291	2529.793742
292	2529.225911
293	2527.836974
294	2526.578348
295	2526.276459
296	2525.47232
297	2525.238101
298	2524.937287
299	2524.888453
300	2524.845019
301	2524.409158
302	2523.490006
303	2522.982196
304	2522.937462
305	2521.822474
306	2521.776788
307	2521.521384
308	2521.487726
309	2520.782535
310	2520.224862
311	2520.186528
312	2520.125899
313	2520.078962
314	2519.755404
315	2518.076321
316	2517.573869
317	2516.70993
318	2515.815825
319	2515.562468
320	2514.718803
321	2513.988761
322	2513.927129
323	2513.524704
324	2513.467318
325	2512.963017
326	2512.918595
327	2512.363588
328	2512.327838
329	2512.303926
330	2511.680475
331	2511.631945
332	2511.22617
333	2510.693139
334	2510.48776
335	2510.200707
336	2509.871284
337	2509.827106
338	2509.162284
339	2508.894676
340	2508.081845
341	2507.370108
342	2507.333322
343	2507.301097
344	2506.394371
345	2506.113927
346	2505.250581
347	2504.274529
348	2502.823669
349	2502.266216
350	2501.234059
351	2501.190518
352	2500.670425
353	2500.071737
354	2499.591505
355	2499.555201
356	2499.127828
357	2498.402683
358	2497.855158
359	2497.437544
360	2497.232069
361	2497.212017
362	2497.193109
363	2496.637229
364	2496.114343
365	2496.075228
366	2495.691811
367	2494.969702
368	2494.416925
369	2494.387083
370	2493.946329
371	2493.913765
372	2493.886546
373	2493.42061
374	2492.234159
375	2492.07837
376	2492.061298
377	2491.630345
378	2491.202188
379	2491.177281
380	2490.807638
381	2490.791541
382	2490.75701
383	2490.043898
384	2489.830393
385	2489.810053
386	2489.644913
387	2489.450342
388	2489.418869
389	2488.256983
390	2488.050802
391	2487.617288
392	2487.3896
393	2486.652439
394	2486.621008
395	2486.593197
396	2486.070584
397	2485.725115
398	2485.315119
399	2484.783109
400	2484.384013
401	2484.03729
402	2484.007093
403	2483.678242
404	2483.414523
405	2483.115432
406	2482.926766
407	2482.388923
408	2481.52627
409	2480.898915
410	2480.631587
411	2480.60936
412	2480.222929
413	2480.198237
414	2479.838564
415	2479.391957
416	2479.081813
417	2478.785349
418	2478.471019
419	2477.643197
420	2477.164479
421	2476.71715
422	2476.297373
423	2475.675523
424	2475.356875
425	2474.899664
426	2474.448467
427	2474.060593
428	2473.853555
429	2473.265981
430	2472.748556
431	2472.345185
432	2472.16847
433	2471.799611
434	2471.772586
435	2471.579932
436	2471.356604
437	2470.732192
438	2470.267919
439	2470.120645
440	2469.905361
441	2469.549974
442	2468.786497
443	2468.304052
444	2467.966603
445	2467.825854
446	2467.689908
447	2467.191029
448	2466.762058
449	2466.567806
450	2466.011989
451	2465.54329
452	2465.296753
453	2464.221542
454	2463.543226
455	2463.516591
456	2463.388989
457	2462.393649
458	2462.182271
459	2461.682008
460	2461.436023
461	2461.168926
462	2460.851491
463	2460.837486
464	2460.352152
465	2459.979415
466	2459.790956
467	2459.607294
468	2459.346792
469	2459.010174
470	2458.623696
471	2457.97803
472	2457.663505
473	2457.398716
474	2456.967146
475	2456.553293
476	2455.804421
477	2455.557076
478	2455.133396
479	2455.021527
480	2454.577729
481	2453.936448
482	2453.045965
483	2452.635691
484	2452.403871
485	2451.973609
486	2451.579477
487	2451.411156
488	2451.174112
489	2450.572158
490	2450.198969
491	2449.894975
492	2449.441474
493	2449.422093
494	2449.403856
495	2449.334617
496	2449.125367
497	2448.842026
498	2448.355955
499	2448.336349
500	2447.511687
501	2447.494391
502	2446.457708
503	2445.892619
504	2445.502574
505	2445.48349
506	2445.332148
507	2444.861592
508	2444.671495
509	2444.240086
510	2444.124897
511	2443.822326
512	2443.644172
513	2443.342799
514	2442.960681
515	2442.783367
516	2441.774042
517	2441.279015
518	2440.911871
519	2440.005993
520	2439.899495
521	2439.319676
522	2439.150313
523	2439.020713
524	2438.887209
525	2438.442133
526	2438.095562
527	2437.180783
528	2437.09504
529	2436.745842
530	2435.886238
531	2435.20521
532	2434.913041
533	2434.44704
534	2433.954465
535	2433.737978
536	2433.491354
537	2433.224631
538	2433.21128
539	2432.885396
540	2432.270901
541	2431.848637
542	2431.607855
543	2431.403495
544	2431.324674
545	2430.974514
546	2430.705993
547	2429.794841
548	2429.409499
549	2428.804655
550	2428.192799
551	2427.737808
552	2427.429613
553	2427.186837
554	2426.860982
555	2426.499475
556	2426.13815
557	2425.71909
558	2425.099123
559	2424.755175
560	2424.4328
561	2423.734585
562	2423.697319
563	2423.563657
564	2423.174272
565	2422.754293
566	2422.45356
567	2422.055586
568	2421.983105
569	2421.567018
570	2421.55008
571	2421.532525
572	2421.063671
573	2420.833885
574	2420.726306
575	2420.448847
576	2419.817536
577	2419.021482
578	2418.56389
579	2418.360859
580	2417.869466
581	2417.693493
582	2417.411255
583	2416.728787
584	2415.948487
585	2415.540517
586	2415.158558
587	2414.704497
588	2414.342787
589	2414.069778
590	2414.006256
591	2413.736598
592	2413.47225
593	2412.880401
594	2412.698343
595	2411.95165
596	2411.675622
597	2411.348043
598	2410.629647
599	2410.341478
600	2410.295217
601	2409.747845
602	2409.43108
603	2409.415086
604	2409.400633
605	2408.667215
606	2407.999285
607	2407.772508
608	2407.354119
609	2407.253193
610	2407.01808
611	2406.396134
612	2405.924051
613	2405.806653
614	2405.538794
615	2404.894965
616	2404.653392
617	2404.639715
618	2404.508552
619	2404.147453
620	2403.452168
621	2403.222311
622	2402.88022
623	2402.54772
624	2402.373551
625	2401.903704
626	2401.3623
627	2401.295609
628	2401.088067
629	2400.689544
630	2400.14403
631	2399.438282
632	2399.139378
633	2398.76261
634	2398.154785
635	2397.501955
636	2397.215035
637	2396.86028
638	2396.433606
639	2396.16588
640	2395.939867
641	2395.529716
642	2395.348585
643	2395.067864
644	2394.442364
645	2394.311209
646	2394.104088
647	2393.387522
648	2392.848578
649	2392.313793
650	2392.076017
651	2391.729203
652	2391.587815
653	2391.374506
654	2390.775847
655	2390.592266
656	2389.944876
657	2389.697324
658	2389.4748
659	2389.006414
660	2388.888305
661	2388.392741
662	2387.851962
663	2387.631299
664	2387.219166
665	2386.820602
666	2386.53559
667	2386.102255
668	2385.816082
669	2385.631179
670	2385.541483
671	2385.22874
672	2385.158457
673	2384.608692
674	2384.562555
675	2384.400003
676	2384.224187
677	2384.047852
678	2383.972664
679	2383.804025
680	2383.647609
681	2383.233081
682	2382.89344
683	2382.622216
684	2382.410725
685	2382.033336
686	2381.731155
687	2381.347308
688	2381.149947
689	2380.929229
690	2380.5326
691	2380.38202
692	2380.034971
693	2379.869505
694	2379.796432
695	2379.438029
696	2379.320979
697	2378.819832
698	2378.5938
699	2378.46781
700	2378.27912
701	2378.015561
702	2377.590506
703	2377.360438
704	2377.082685
705	2376.616548
706	2376.24527
707	2375.926483
708	2375.758541
709	2375.488293
710	2375.185715
711	2375.007884
712	2374.986565
713	2374.54199
714	2374.077543
715	2373.74782
716	2373.525452
717	2373.338626
718	2372.94535
719	2372.830169
720	2372.522741
721	2372.181098
722	2372.060839
723	2371.414847
724	2371.129677
725	2370.962418
726	2370.845012
727	2370.598034
728	2370.15631
729	2369.609623
730	2369.380711
731	2369.087171
732	2368.788025
733	2368.525125
734	2368.149893
735	2367.823097
736	2367.659938
737	2367.282383
738	2366.969078
739	2366.638018
740	2366.371632
741	2366.3097
742	2366.257783
743	2366.118542
744	2365.96518
745	2365.736072
746	2365.543737
747	2365.153916
748	2364.974078
749	2364.651637
750	2364.515048
751	2364.277181
752	2363.941169
753	2363.655061
754	2363.469649
755	2363.064706
756	2362.695053
757	2362.432117
758	2362.260923
759	2362.08978
760	2361.855208
761	2361.799833
762	2361.751922
763	2361.480914
764	2361.345124
765	2361.207763
766	2360.864383
767	2360.666037
768	2360.57721
769	2360.357609
770	2360.097248
771	2359.878855
772	2359.807677
773	2359.676358
774	2359.633991
775	2359.064715
776	2358.797545
777	2358.528127
778	2358.338781
779	2358.260029
780	2358.147077
781	2357.924102
782	2357.721725
783	2357.457302
784	2357.316602
785	2357.165616
786	2356.982094
787	2356.683155
788	2356.560976
789	2355.915985
790	2355.609844
791	2355.582301
792	2355.558292
793	2355.443744
794	2355.19367
795	2355.171766
796	2354.92284
797	2354.798593
798	2354.69727
799	2354.469914
800	2354.356275
801	2354.15479
802	2353.992111
803	2353.900061
804	2353.880803
805	2353.594618
806	2353.183087
807	2353.00771
808	2352.827529
809	2352.418403
810	2352.103644
811	2351.61934
812	2351.26104
813	2350.918379
814	2350.617186
815	2350.564167
816	2350.523895
817	2350.425285
818	2350.333143
819	2349.962668
820	2349.760737
821	2349.546567
822	2349.407119
823	2349.2123
824	2348.959684
825	2348.593571
826	2348.47804
827	2348.129941
828	2347.933472
829	2347.78643
830	2347.602988
831	2347.510232
832	2347.45706
833	2347.169215
834	2347.159569
835	2347.0626
836	2346.800708
837	2346.579476
838	2346.412717
839	2346.050171
840	2345.787828
841	2345.504822
842	2345.435633
843	2345.420658
844	2345.360037
845	2345.2082
846	2345.127825
847	2344.685188
848	2344.636601
849	2344.214792
850	2344.172827
851	2344.081657
852	2343.976433
853	2343.886759
854	2343.655197
855	2343.565249
856	2343.264564
857	2343.02888
858	2342.863951
859	2342.651326
860	2342.568956
861	2342.505565
862	2341.989502
863	2341.642372
864	2341.471382
865	2341.205652
866	2341.06081
867	2340.860512
868	2340.617578
869	2340.428342
870	2340.280819
871	2340.12602
872	2339.870351
873	2339.76931
874	2339.640015
875	2339.516373
876	2339.294973
877	2339.091008
878	2338.781068
879	2338.631462
880	2338.317589
881	2338.07201
882	2337.91353
883	2337.591949
884	2337.493259
885	2336.989191
886	2336.959642
887	2336.714211
888	2336.442736
889	2336.300148
890	2336.066771
891	2336.010211
892	2335.979942
893	2335.951902
894	2335.740577
895	2335.591082
896	2335.140028
897	2334.99155
898	2334.789353
899	2334.646043
900	2334.445496
901	2334.231019
902	2334.013494
903	2333.881543
904	2333.663612
905	2333.616998
906	2333.429511
907	2333.164787
908	2332.808124
909	2332.565121
910	2332.413625
911	2332.346901
912	2332.034103
913	2331.903033
914	2331.8005
915	2331.662776
916	2331.410146
917	2331.085257
918	2330.879539
919	2330.873785
920	2330.793024
921	2330.636335
922	2330.605925
923	2330.579881
924	2330.320746
925	2330.22255
926	2329.856062
927	2329.733014
928	2329.434558
929	2329.283381
930	2328.937202
931	2328.656657
932	2328.546661
933	2328.430544
934	2328.017327
935	2327.777269
936	2327.562721
937	2327.468563
938	2327.293749
939	2326.993864
940	2326.611266
941	2326.37902
942	2326.214804
943	2326.088166
944	2325.731869
945	2325.708725
946	2325.550665
947	2325.389947
948	2325.332049
949	2325.139902
950	2324.840476
951	2324.832284
952	2324.481657
953	2324.465751
954	2324.299088
955	2324.129764
956	2323.976766
957	2323.677483
958	2323.52182
959	2323.266941
960	2323.08756
961	2322.84173
962	2322.63804
963	2322.482744
964	2322.257623
965	2322.006543
966	2321.799101
967	2321.585002
968	2321.193744
969	2320.920665
970	2320.822676
971	2320.769693
972	2320.65897
973	2320.435297
974	2320.23517
975	2320.125173
976	2320.040647
977	2319.874374
978	2319.713334
979	2319.468027
980	2319.139809
981	2318.97462
982	2318.744254
983	2318.739259
984	2318.648418
985	2318.52895
986	2318.47449
987	2318.205114
988	2318.101082
989	2318.040308
990	2317.900624
991	2317.803389
992	2317.557099
993	2317.43127
994	2317.350989
995	2317.285522
996	2317.16819
997	2316.996279
998	2316.927218
999	2316.880021
